stint_id,player_id,real_name,country,current_team,player_status,stint_number,total_stints,team,date_start,date_end,date_range,stint_status,is_current_team,duration_days,year_start,year_end,roles,player_url
124,Goaster,Tony Richard,France,Colors Esport,Active,5,9,Mandatory,2022-04-11,2024-09-21,2022-04-11 — 2024-09-21,Active,False,894,2022,2024,[],https://liquipedia.net/valorant/Goaster
125,Goaster,Tony Richard,France,Colors Esport,Active,6,9,Valiant,2025-01-08,2025-03-05,2025-01-08 — 2025-03-05,Active,False,56,2025,2025,[],https://liquipedia.net/valorant/Goaster
126,Goaster,Tony Richard,France,Colors Esport,Active,7,9,ZERANCE,2025-03-13,2025-05-09,2025-03-13 — 2025-05-09,Active,False,57,2025,2025,[],https://liquipedia.net/valorant/Goaster
127,Goaster,Tony Richard,France,Colors Esport,Active,8,9,Nuxeria Esport,2025-10-30,2026-01-23,2025-10-30 — 2026-01-23,Active,False,85,2025,2026,[],https://liquipedia.net/valorant/Goaster
128,Goaster,Tony Richard,France,Colors Esport,Active,9,9,Colors Esport,2026-01-23,Present,2026-01-23 —Present,Active,True,20,2026,2026,[],https://liquipedia.net/valorant/Goaster
129,Helas,Saleh Ben Atia,France,One More Esports,Active,1,4,EvozA Esport,2024-07-11,2025-03-28,2024-07-11 — 2025-03-28,Active,False,260,2024,2025,[],https://liquipedia.net/valorant/Helas
130,Helas,Saleh Ben Atia,France,One More Esports,Active,2,4,GnG Amazigh,2025-05-30,2025-06-29,2025-05-30 — 2025-06-29,Active,False,30,2025,2025,[],https://liquipedia.net/valorant/Helas
131,Helas,Saleh Ben Atia,France,One More Esports,Active,3,4,F9 EICAR,2025-06-29,2025-11-08,2025-06-29 — 2025-11-08,Active,False,132,2025,2025,[],https://liquipedia.net/valorant/Helas
132,Helas,Saleh Ben Atia,France,One More Esports,Active,4,4,One More Esports,2026-01-05,Present,2026-01-05 —Present,Active,True,38,2026,2026,[],https://liquipedia.net/valorant/Helas
133,Hiiro,Eric Brassac,France,LEO,Active,1,3,GTZ Esports,2024-01-08,2024-06-29,2024-01-08 — 2024-06-29,Active,False,173,2024,2024,[],https://liquipedia.net/valorant/Hiiro
134,Hiiro,Eric Brassac,France,LEO,Active,2,3,WYLDE,2025-03-21,2025-07-05,2025-03-21 — 2025-07-05,Active,False,106,2025,2025,[],https://liquipedia.net/valorant/Hiiro
135,Hiiro,Eric Brassac,France,LEO,Active,3,3,LEO,2025-08-18,Present,2025-08-18 —Present,Active,True,178,2025,2026,[],https://liquipedia.net/valorant/Hiiro
136,HyP,Damien Souville,France,Mandatory,Active,1,10,HypHypHyp,2020-04-13,2020-07-02,2020-04-13 — 2020-07-02,Active,False,80,2020,2020,[],https://liquipedia.net/valorant/HyP
137,HyP,Damien Souville,France,Mandatory,Active,2,10,Ninjas in Pyjamas,2020-07-14,2020-09-17,2020-07-14 — 2020-09-17,Active,False,65,2020,2020,[],https://liquipedia.net/valorant/HyP
